latitude,longitude,free_bikes,empty_slots,name
43.65389,-79.4675,10,9,Gothic Ave / Quebec Ave
43.68114,-79.4277,1,9,Rushton Rd / St Clair Ave W
43.663148,-79.347938,13,3,Dundas St E / Boulton Ave - SMART
43.669813,-79.3335,24,0,Gerrard St E / Leslie St
43.633537,-79.437461,7,17,Marilyn Bell Park Tennis Court
43.63632,-79.47307,16,6,The Queensway at South Kingsway
43.697819,-79.38786,6,16,Merton St / Mount Pleasant Rd
43.638426,-79.429142,10,4,Tyndall Ave / King St W - SMART
43.65988,-79.38279,0,22,College Park - Yonge St Entrance
43.66842,-79.410585,13,15,Barton Ave / Howland Ave - SMART
43.66402,-79.46418,2,12,Keele St / Annette St
43.66686,-79.46526,3,20,Keele St / Vine Ave
43.671278,-79.372127,0,19,Howard St / Rose Ave
43.635023,-79.399505,2,20,Little Norway Park
43.70547,-79.40355,6,12,Lascelles Blvd / Eglinton Ave W
43.641675,-79.354006,1,22,Polson Pier
43.694341,-79.291416,2,20,Dentonia Park
43.64422,-79.36927,15,2,Lower Jarvis St / Queens Quay E
43.685924,-79.376304,4,6,Summerhill Ave / Maclennan Ave
43.645215,-79.364898,21,4,Queens Quay E / Lower Sherbourne St
43.646677,-79.442741,6,11,Wright Ave / Sorauren Ave - SMART
43.63855,-79.46693,14,4,Ellis Ave / The Queensway
43.645599,-79.4657123,6,3,High Park - Grenadier Cafe
43.674923,-79.430465,3,6,Winona Dr / Davenport Rd
43.684758,-79.316767,6,4,Danforth Ave / Aldridge Ave
43.66663,-79.38148,17,21,Dundonald St / Church St
43.685221,-79.294766,6,13,Gerrard St E / Malvern Ave - SMART
43.635492,-79.398253,19,14,Bathurst St/Queens Quay(Billy Bishop Airport)
43.63951,-79.383717,12,4,Queens Quay W / Lower Simcoe St
43.6417852,-79.4131148,21,2,King St W / Crawford St
43.655766,-79.3802,9,21,Yonge St / Dundas Sq
43.680466,-79.432522,0,11,St Clair Ave W / Winona Dr
43.664088,-79.387095,30,21,Bay St / Wellesley St W
43.65917,-79.46997,5,15,Humberside Grounds - SMART
43.671535,-79.379173,1,19,Bloor St E / Huntley St - SMART
43.646734,-79.38301,6,16,York St / Wellington St W (1) 
43.6662942,-79.4066433,4,9,Dalton Rd / Bloor St W
43.675278,-79.423889,3,23,Davenport Rd / Christie St
43.648928,-79.378623,8,1,King St W / Jordan St
43.715951,-79.351246,0,27,E.T. Seton Park (Eglinton Ave E / Leslie St)
43.665645,-79.304711,7,19,Woodbine Ave / Lake Shore Blvd E
43.645572,-79.39399,12,11,King St W / Charlotte St
43.652777,-79.372637,7,12,Jarvis St / Richmond St E
43.665538,-79.451263,8,7,Symington Ave / Dupont St
43.650325,-79.372287,22,1,King St E / Jarvis St
43.66943,-79.38915,10,1,Bay St / Bloor St W (East Side)
43.669244,-79.3894,13,5,Bay St / Bloor St W (West Side)
43.683351,-79.41562,0,14,Wells Hill Ave / St Clair Ave W
43.6574766,-79.373446,18,6,Dundas St E / George St
43.636611,-79.400042,18,4,Fleet St / Bathurst St
43.646552,-79.406468,6,3,Tecumseth St / Queen St W - SMART
43.713524,-79.400162,1,15,Briar Hill Ave / Yonge St - SMART
43.65003919999999,-79.3733541,7,5,King St E / Church St
43.663376,-79.392125,0,17,Wellesley St W / Queen's Park Cres
43.65995,-79.38964,6,12,University Ave / College St (East)
43.6146692,-79.4873148,15,2,Superior Ave / Lake Shore Blvd W
43.63771,-79.458173,6,19,Lake Shore Blvd W / Colborne Lodge Dr
43.6390437,-79.4760109,21,1,Ripley Ave / Ormskirk Ave
43.6486599,-79.4376413,8,5,St Clarens Ave / Shirley St
43.6702236,-79.4360232,0,21,Bartlett Parkette
43.6752732,-79.3778458,0,18,Sherbourne St N / Elm Ave
43.645469,-79.411084,12,2,Walnut Ave / Queen St W
43.6882821,-79.4253856,2,16,Vaughan Rd /Wychwood Ave
43.651603,-79.408346,7,13,Palmerston Ave / Dundas St W
43.670206,-79.402643,10,10,541 Huron St - SMART
43.661559,-79.413845,10,3,Euclid Ave / Herrick St - SMART
43.6560758,-79.393259,1,14,Baldwin St / Henry St
43.6580442,-79.3927404,2,12,Orde St / McCaul St
43.6568254,-79.3966159,4,14,Ross St / Cecil St - SMART
43.5927419,-79.54033009999999,19,0,Lake Shore Blvd W / Thirty Ninth Street
43.597082,-79.522768,10,8,Lake Shore Blvd W / Twenty Fourth St
43.6171635,-79.4971065,3,27,Windsor St / Newcastle St
43.612063,-79.496573,5,14,Royal York Rd / Mimico Ave
43.63732,-79.489083,18,0,Berry Rd / Bell Manor Dr
43.5961692,-79.5160575,4,23,Humber College (Lakeshore Campus)
43.613606,-79.4883535,13,14,Amos Waites Park
43.664665,-79.489385,1,22,Priscilla Ave / Dundas St W
43.665523,-79.484892,1,20,Durie St / Dundas St W
43.668496,-79.485426,11,8,St Clair Ave W / Castleton Ave
43.698841,-79.519472,0,25,Weston Lions Park
43.658574,-79.487246,4,11,Annette St / Jane St
43.63985,-79.43703,13,12,Jameson Ave / Queen St W
43.665076,-79.341509,13,1,Carlaw Ave / Dundas St E
43.6323994,-79.40978179999999,17,25,Toronto Inukshuk Park
43.6935477,-79.3301658,1,14,Cosburn Ave / Durant Ave
43.6438036,-79.4770327,7,8,Swansea Community Centre
43.65246,-79.413528,8,12,Bellwoods Ave / Treford Pl - SMART
43.6548521,-79.35397680000001,9,3,Bayview Ave / Lawren Harris Square
