id,name,latitude,longitude,free_bikes,empty_slots,bike_availability,ll,n_pois,n_bar_restaurant,n_cafe,n_live,n_park
2a56ebfe680276d40a591ef322457f70,135 Queens Wharf Rd - SMART,43.6399714,-79.39940399999999,5,9,35.71,"43.639971,-79.399404",50,30,7,1,9
fc6389e5eba6c99ed3c0185b65c9cb5c,406 Oakwood Ave,43.68827060022711,-79.43937767081853,0,18,0.0,"43.688271,-79.439378",27,17,6,1,3
3681db49ef2d337bfb035ab1ac33e2c2,Granby St / Church St - SMART,43.6614605,-79.37894570000002,6,18,25.0,"43.66146,-79.378946",50,34,7,3,5
d10b85cd917407519f2491252a022a01,Lumsden Ave / Eastdale Ave,43.69413548199171,-79.30058718775287,14,6,70.0,"43.694135,-79.300587",35,23,2,0,9
2cf04264d349d318f68193444d9c5ad0,Yonge St / Lawrence Ave E,43.7254665,-79.40115449999999,0,22,0.0,"43.725466,-79.401154",41,27,3,0,8
b63112d639d75af6c2e5481df147cf77,Yonge St / Orchard View Blvd,43.7083577,-79.39886200000001,25,10,71.43,"43.708358,-79.398862",50,37,5,0,6
7398115d8ae10074445ef787822317dd,Lower Don River Trail and Taylor Creek Trail,43.7027268,-79.33368089999999,11,7,61.11,"43.702727,-79.333681",19,8,1,0,9
3941abb3cf0f4b0fed316e0a2ed7452f,St Columba Pl / St Clair Ave E,43.70567,-79.310554,3,16,15.79,"43.70567,-79.310554",30,21,1,1,3
9eb5acc897b27515ad12ee8fade63062,Strachan Ave / Princes' Blvd,43.635,-79.4088888888889,19,0,100.0,"43.635,-79.408889",50,20,2,3,19
8b5819a5a6fb1ea79521a607ebb0a5ab,King St E / River St,43.65678478285314,-79.35627385059036,0,14,0.0,"43.656785,-79.356274",50,30,9,4,6
bc0aa12455a97e86cf1be415300027db,Yonge St / Golfdale Rd,43.732016,-79.403637,3,12,20.0,"43.732016,-79.403637",45,34,4,0,4
